bam-entertainment-center-holland,Bam Entertainment Center,brewpub,478 E 16th St,,,Holland,Michigan,,49423-3793,http://www.gobamgo.com,6163927086,2018-07-24,2018-08-24,United States,-86.08555156,42.7812873,
barn-brewers-lawton,Barn Brewers,brewpub,114 N Main St,,,Lawton,Michigan,,49065-8634,http://www.barnbrewersbrewery.com,2692990482,2018-07-24,2018-08-24,United States,-85.84966443,42.16834814,
barrel-and-beam-marquette,Barrel and Beam,micro,260 Northwoods RD,,,Marquette,Michigan,,49855,http://www.barrelandbeam.com,9062732559,2018-07-24,2018-08-24,United States,-87.4722168,46.54578,
bastone-brewery-royal-oak,Bastone Brewery,brewpub,419 S Main St,,,Royal Oak,Michigan,,48067-2615,http://www.bastone.net/br/bastone-brewery,2485446250,2018-07-24,2018-08-24,United States,-83.1440578,42.4836283,
batch-brewing-co-detroit,Batch Brewing Co,brewpub,1400 Porter St,,,Detroit,Michigan,,48216-1934,http://www.BatchBrewingCompany.com,3133388008,2018-07-24,2018-08-24,United States,-83.088689,42.3184806,
beards-brewery-petoskey,Beards Brewery,brewpub,215 E Lake St,,,Petoskey,Michigan,,49770-2415,http://www.beardsbrewery.com,2317532221,2018-07-24,2018-08-24,United States,-84.95425838,45.37533801,
beards-brewery-production-facility-charlevoix,Beards Brewery Production Facility,micro,6328 Ferry Ave,,,Charlevoix,Michigan,,49720-9504,,,2018-07-24,2018-08-24,United States,-85.249116,45.304738,
beer-church-brewing-company-new-buffalo,Beer Church Brewing Company,contract,24 S Whittaker St,,,New Buffalo,Michigan,,49117-1820,http://www.beerchurchbrewing.com,2192413876,2018-07-24,2018-08-24,United States,-86.74311848,41.79322148,
belding-brewing-company-belding,Belding Brewing Company,planning,,,,Belding,Michigan,,48809-1678,,6163086285,2018-07-24,2018-08-11,United States,,,
bell-s-brewery-inc-galesburg,"Bell's Brewery, Inc",regional,8938 Krum Ave,,,Galesburg,Michigan,,49053-9558,http://www.bellsbeer.com,2693822338,2018-07-24,2018-08-11,United States,,,
