from-the-earth-brewing-company-roswell,From The Earth Brewing Company,brewpub,1570 Holcomb Bridge Rd Suite 405,,,Roswell,Georgia,,30076,http://www.ftebrewing.com,7709109799,2018-07-24,2018-08-11,United States,,,
gate-city-brewing-company-roswell,Gate City Brewing Company,micro,43 Magnolia St,,,Roswell,Georgia,,30075-4289,http://www.gatecitybrewingco.com,6784040961,2018-07-24,2018-08-24,United States,-84.36395307,34.02293426,
georgia-beer-co-valdosta,Georgia Beer Co,planning,,,,Valdosta,Georgia,,31601-9017,http://www.georgiabeerco.com,9123995883,2018-07-24,2018-08-11,United States,,,
glover-park-brewery-marietta,Glover Park Brewery,planning,,,,Marietta,Georgia,,30060,,,2018-07-24,2018-08-11,United States,,,
good-word-brewing-public-house-duluth,Good Word Brewing & Public House,brewpub,3085 Main St Ste 520,,,Duluth,Georgia,,30096-3261,http://www.goodwordbrewing.com,4049732077,2018-07-24,2018-08-11,United States,,,
gordon-biersch-brewery-restaurant-atlanta-atlanta,Gordon Biersch Brewery Restaurant - Atlanta,brewpub,3242 Peachtree Rd NE,,,Atlanta,Georgia,,30305-2425,http://www.craftworksrestaurants.com,4042640253,2018-07-24,2018-08-24,United States,-84.3620936,33.8503143,
grits-brewing-chamblee,GRITS Brewing,planning,,,,Chamblee,Georgia,,30341-2024,,,2018-07-24,2018-08-11,United States,,,
grumpy-old-men-brewing-blue-ridge,Grumpy Old Men Brewing,micro,1315 E Main St,,,Blue Ridge,Georgia,,30513-8506,http://www.grumpyoldmenbrewing.com,7703318870,2018-07-24,2018-08-24,United States,-84.33050832,34.85747136,
hop-soul-brewery-brunswick,Hop Soul Brewery,planning,,,,Brunswick,Georgia,,31520,http://www.hopsoulbrewery.com,,2018-07-24,2018-08-11,United States,,,
hopstix-chamblee,Hopstix,brewpub,3404 Pierce Dr NE,,,Chamblee,Georgia,,30341-2444,http://www.hopstix.com,6788882306,2018-07-24,2018-08-11,United States,,,
ironmonger-brewing-marietta,Ironmonger Brewing,micro,2129 Northwest Pkwy SE Ste 105,,,Marietta,Georgia,,30067-9223,http://www.ironmongerbrewing.com,6787428551,2018-07-24,2018-08-24,United States,-84.48696353,33.91959382,
ironwood-creek-evans,Ironwood Creek,planning,,,,Evans,Georgia,,30809-8239,,,2018-07-24,2018-08-11,United States,,,
